prospect_id,display_name,contact_name,company_name,county,city,utility,property_type,sqft,assessed_value,estimated_system_kw,estimated_annual_kwh,est_monthly_bill,latitude,longitude,stage,sales_temperature,assigned_rep,lead_source,last_contact_days,created_date,roof_confidence,fit_notes,solar_fit_score,close_probability,estimated_annual_savings,priority_rank
98,Jorge Walker,Jorge Walker,,Yakima,Toppenish,Pacific Power,Residential,3472,777333,11.4,16464,189.59,46.427082,-120.720505,Qualified,Warm,Unassigned,Business List,33,2025-11-28,Medium,Strong ownership profile and above-median assessed value.,75.4,0.51,1355.0,18
99,Daniel Mendoza,Daniel Mendoza,,Yakima,Yakima,Pacific Power,Residential,2330,681557,8.8,12757,185.45,46.514598,-120.509476,Site Review Scheduled,Warm,Unassigned,Campaign,24,2025-09-17,Medium,Strong ownership profile and above-median assessed value.,69.3,0.53,1425.0,28
100,Anna Cooper,Anna Cooper,,Adams,Ritzville,Adams County PUD,Residential,4047,450608,16.6,24000,232.9,47.184059,-118.749415,Contact Attempted,Warm,Unassigned,Referral,7,2026-01-10,Medium,Likely better fit after direct site review.,75.0,0.36,2290.0,20
101,Anna Sanchez,Anna Sanchez,,Franklin,Mesa,Franklin PUD,Residential,4101,459832,16.6,24000,221.31,46.319554,-119.074548,Contact Attempted,Warm,Unassigned,Walk-In,30,2026-04-02,Low,Likely better fit after direct site review.,73.9,0.35,1824.0,22
102,Blue Basin Auto Center,Noah Walker,Blue Basin Auto Center,Adams,Ritzville,Columbia REA,Commercial,39186,2940661,243.2,352597,2938.59,46.939452,-118.801082,Qualified,Warm,Unassigned,Referral,14,2026-03-26,Medium,Strong ownership profile and above-median assessed value.,99.0,0.67,22957.0,1
103,Maria Sanchez,Maria Sanchez,,Walla Walla,Walla Walla,Columbia REA,Residential,1300,746222,6.3,9081,97.91,46.184431,-118.296933,Negotiation,Warm,Unassigned,Walk-In,28,2026-03-27,Medium,High-value roofline and strong bill-reduction angle.,56.6,0.5,741.0,61
104,Sun Ridge Processing,Sarah Bennett,Sun Ridge Processing,Adams,Othello,Adams County PUD,Commercial,14771,3555838,101.7,147502,968.45,46.806038,-118.378626,Contact Made,Warm,Unassigned,Business List,28,2025-09-06,Low,Strong ownership profile and above-median assessed value.,99.0,0.55,6406.0,1
105,Rachel Cooper,Rachel Cooper,,Franklin,Pasco,Franklin PUD,Residential,3399,436041,13.4,19495,157.42,46.110145,-118.969391,Negotiation,Warm,Unassigned,Walk-In,11,2025-09-16,Medium,Likely better fit after direct site review.,63.2,0.56,1340.0,42
106,Ethan Howard,Ethan Howard,,Adams,Ritzville,Columbia REA,Residential,2729,388225,11.5,16675,192.69,46.814337,-118.758912,Contact Made,Warm,Unassigned,Business List,11,2026-02-06,Medium,Strong ownership profile and above-median assessed value.,64.5,0.36,1658.0,38
107,Atlas Prospect Vineyards,Noah Mendoza,Atlas Prospect Vineyards,Yakima,Sunnyside,Yakima Valley Utility,Commercial,40803,2569960,345.0,500280,4133.36,46.80091,-120.513903,New Lead,Warm,Unassigned,Walk-In,31,2025-10-03,High,Likely better fit after direct site review.,99.0,0.42,28810.0,1
108,Blue Basin Auto Center,Sarah Howard,Blue Basin Auto Center,Grant,Moses Lake,Grant PUD,Commercial,32925,2741571,300.8,436219,2746.53,47.272344,-119.347332,New Lead,Hot,Atlas Admin,Campaign,22,2025-10-14,Low,Promising commercial consumption profile.,99.0,0.42,23610.0,1
109,Ethan Taylor,Ethan Taylor,,Franklin,Mesa,Pacific Power,Residential,2351,865850,11.6,16794,174.76,46.377553,-118.941771,Qualified,Hot,Unassigned,Public Parcel,17,2026-01-05,Medium,Promising commercial consumption profile.,66.3,0.45,1295.0,35
110,Daniel Diaz,Daniel Diaz,,Adams,Ritzville,Columbia REA,Residential,3565,903121,13.6,19654,183.57,46.897123,-118.691472,Proposal Sent,Warm,Unassigned,Referral,0,2025-12-17,High,Strong ownership profile and above-median assessed value.,77.9,0.63,1589.0,16
111,Anna Sanchez,Anna Sanchez,,Adams,Ritzville,Columbia REA,Residential,2959,462142,13.7,19933,203.42,46.913018,-118.787268,Qualified,Warm,Unassigned,Walk-In,1,2025-10-02,High,Promising commercial consumption profile.,68.3,0.46,1633.0,31
112,Frontier Metal Works,Daniel Walker,Frontier Metal Works,Benton,Kennewick,Benton PUD,Agricultural,22783,1713599,143.0,207392,1374.75,46.502109,-119.322044,New Lead,Cold,Unassigned,Business List,30,2026-04-20,High,Promising commercial consumption profile.,99.0,0.42,11718.0,1
113,Blue Basin Auto Center,Luis Mendoza,Blue Basin Auto Center,Grant,Quincy,Grant PUD,Commercial,31676,3360977,186.5,270386,1761.91,47.209292,-119.533271,New Lead,Cold,Unassigned,Business List,4,2025-10-29,High,Likely better fit after direct site review.,97.0,0.41,15339.0,3
114,Blue Basin Logistics,Sarah Walker,Blue Basin Logistics,Walla Walla,Walla Walla,Pacific Power,Agricultural,43375,4090984,317.9,460947,3808.13,45.999123,-118.492211,Lost,Cold,Atlas Admin,Referral,1,2025-11-16,Medium,Promising commercial consumption profile.,99.0,0.03,31522.0,1
115,Tri-City Vineyards,Jorge Walker,Tri-City Vineyards,Grant,Moses Lake,Grant PUD,Commercial,19685,2525709,151.6,219876,1457.73,46.993104,-119.334389,Lost,Hot,Atlas Admin,Walk-In,4,2025-10-07,High,Likely better fit after direct site review.,99.0,0.03,9940.0,1
116,Jorge Howard,Jorge Howard,,Yakima,Toppenish,Yakima Valley Utility,Residential,3774,765387,12.3,17823,199.5,46.477027,-120.286159,Qualified,Cold,Unassigned,Campaign,4,2026-01-10,Medium,Strong ownership profile and above-median assessed value.,62.3,0.42,1789.0,44
117,James Sanchez,James Sanchez,,Franklin,Connell,Franklin PUD,Residential,3707,878407,12.3,17877,177.16,46.045079,-119.315769,Site Review Scheduled,Cold,Unassigned,Referral,7,2026-03-19,High,Good ag load profile. Storage could be future upsell.,61.9,0.47,1633.0,47
118,James Mendoza,James Mendoza,,Yakima,Yakima,Pacific Power,Residential,3292,617617,12.5,18082,182.76,46.612596,-120.629166,New Lead,Warm,Unassigned,Public Parcel,30,2026-02-17,Medium,Strong ownership profile and above-median assessed value.,70.3,0.3,1751.0,25
119,Atlas Prospect Warehouse,Rachel Ortiz,Atlas Prospect Warehouse,Franklin,Mesa,Pacific Power,Commercial,31483,1391685,281.3,407893,3387.42,46.42931,-118.914708,New Lead,Warm,Atlas Admin,Walk-In,18,2025-09-08,Medium,Good ag load profile. Storage could be future upsell.,99.0,0.42,23305.0,1
120,Riverbend Auto Center,Rachel Lopez,Riverbend Auto Center,Walla Walla,College Place,Pacific Power,Commercial,19897,2395849,122.2,177151,1527.2,45.848106,-118.498651,New Lead,Warm,Unassigned,Referral,6,2026-01-14,Medium,Likely better fit after direct site review.,99.0,0.42,14944.0,1
121,Atlas Prospect Warehouse,Sarah Bennett,Atlas Prospect Warehouse,Walla Walla,Walla Walla,Columbia REA,Commercial,10096,634131,96.4,139803,1165.41,46.061093,-118.571855,New Lead,Cold,Unassigned,Referral,16,2026-02-19,Medium,Strong ownership profile and above-median assessed value.,83.8,0.35,10338.0,12
122,Isabel Walker,Isabel Walker,,Adams,Othello,Adams County PUD,Residential,2030,382723,6.7,9714,108.83,46.898951,-118.584766,Contact Attempted,Cold,Unassigned,Business List,19,2026-03-28,High,Promising commercial consumption profile.,36.7,0.18,1013.0,93
123,Daniel Taylor,Daniel Taylor,,Yakima,Grandview,Pacific Power,Residential,1400,553357,6.8,9899,156.1,46.447362,-120.396098,Qualified,Warm,Atlas Admin,Business List,8,2025-10-03,Medium,Strong ownership profile and above-median assessed value.,59.8,0.41,1219.0,52
124,Riverbend Logistics,Maria Ortiz,Riverbend Logistics,Adams,Ritzville,Adams County PUD,Agricultural,7914,562873,70.1,101581,708.45,47.167933,-118.776499,Contact Attempted,Cold,Unassigned,Walk-In,27,2026-04-13,Medium,Good ag load profile. Storage could be future upsell.,84.9,0.41,5169.0,11
125,Sarah Diaz,Sarah Diaz,,Franklin,Pasco,Pacific Power,Residential,3736,886947,15.1,21844,255.54,46.140592,-119.128674,Contact Made,Cold,Unassigned,Campaign,1,2025-09-27,Low,Good ag load profile. Storage could be future upsell.,69.9,0.39,2084.0,26
126,Rachel Lopez,Rachel Lopez,,Walla Walla,College Place,Pacific Power,Residential,1936,267329,6.1,8865,144.71,45.995975,-118.308861,Contact Attempted,Warm,Unassigned,Business List,17,2026-02-16,High,Promising commercial consumption profile.,53.3,0.26,1225.0,71
127,Elena Mitchell,Elena Mitchell,,Walla Walla,Walla Walla,Columbia REA,Residential,3626,573451,16.6,24000,215.89,46.000714,-118.166604,Site Review Scheduled,Hot,Unassigned,Campaign,19,2025-12-15,Medium,Strong ownership profile and above-median assessed value.,68.5,0.52,1451.0,30
128,Luis Cooper,Luis Cooper,,Benton,Prosser,Benton PUD,Residential,3715,451250,16.6,24000,224.57,46.168054,-119.430719,Contact Attempted,Cold,Unassigned,Referral,25,2026-04-02,High,Good ag load profile. Storage could be future upsell.,58.0,0.28,1702.0,56
129,Harvest Warehouse,Rachel Taylor,Harvest Warehouse,Franklin,Connell,Franklin PUD,Commercial,35929,3172859,297.2,430903,2765.71,46.448979,-118.979777,Contact Attempted,Warm,Unassigned,Campaign,2,2025-09-15,Medium,Likely better fit after direct site review.,99.0,0.48,21105.0,1
130,Rachel Cooper,Rachel Cooper,,Grant,Quincy,Grant PUD,Residential,1518,489556,6.5,9438,141.51,47.007294,-119.244014,Proposal Sent,Warm,Unassigned,Referral,6,2026-01-21,High,High-value roofline and strong bill-reduction angle.,56.8,0.46,1111.0,60
131,Ethan Howard,Ethan Howard,,Adams,Ritzville,Adams County PUD,Residential,2751,608292,12.8,18536,186.69,46.940047,-118.733704,Qualified,Warm,Atlas Sales,Public Parcel,4,2026-02-13,Medium,Promising commercial consumption profile.,69.0,0.47,1769.0,29
132,Elena Rivera,Elena Rivera,,Franklin,Pasco,Pacific Power,Residential,3713,746186,16.6,24000,225.05,46.341673,-119.076136,Negotiation,Cold,Atlas Admin,Campaign,16,2025-10-16,Medium,Good ag load profile. Storage could be future upsell.,64.9,0.57,1659.0,37
133,Jorge Walker,Jorge Walker,,Benton,Prosser,City Utility,Residential,2677,244000,12.4,18002,206.9,46.238577,-119.258675,Contact Made,Cold,Atlas Sales,Walk-In,30,2025-10-02,Low,Good ag load profile. Storage could be future upsell.,47.8,0.27,1427.0,82
134,Daniel Mendoza,Daniel Mendoza,,Grant,Quincy,Grant PUD,Residential,3025,286784,10.9,15764,172.61,47.080612,-119.345169,Qualified,Cold,Unassigned,Campaign,14,2025-10-09,High,Strong ownership profile and above-median assessed value.,45.5,0.31,1597.0,86
135,Daniel Walker,Daniel Walker,,Walla Walla,College Place,Columbia REA,Residential,2165,739397,10.4,15020,188.52,46.269476,-118.245725,Contact Made,Hot,Unassigned,Business List,13,2026-03-07,Medium,Promising commercial consumption profile.,64.5,0.36,1270.0,38
136,Blue Basin Market,Elena Walker,Blue Basin Market,Benton,Kennewick,City Utility,Agricultural,19900,3062253,142.2,206251,1759.78,46.500543,-119.318096,Contact Made,Hot,Atlas Admin,Business List,6,2026-03-13,High,Likely better fit after direct site review.,99.0,0.55,16059.0,1
137,Isabel Lopez,Isabel Lopez,,Yakima,Toppenish,Yakima Valley Utility,Residential,3882,749172,12.3,17862,182.33,46.763789,-120.308229,New Lead,Warm,Unassigned,Walk-In,17,2025-10-12,Medium,High-value roofline and strong bill-reduction angle.,75.1,0.32,1403.0,19
138,Riverbend Warehouse,Daniel Mitchell,Riverbend Warehouse,Yakima,Yakima,Yakima Valley Utility,Industrial,39878,2027307,435.4,631285,5214.03,46.518918,-120.32762,New Lead,Cold,Unassigned,Campaign,10,2026-04-06,High,Good ag load profile. Storage could be future upsell.,94.0,0.39,46400.0,5
139,Sarah Rivera,Sarah Rivera,,Walla Walla,Walla Walla,Columbia REA,Residential,2022,300426,6.5,9375,118.71,45.904286,-118.160326,New Lead,Cold,Unassigned,Campaign,28,2025-12-16,Medium,Strong ownership profile and above-median assessed value.,36.0,0.15,1009.0,94
140,Columbia Logistics,James Howard,Columbia Logistics,Yakima,Grandview,Pacific Power,Commercial,9923,1645667,89.9,130415,1126.43,46.53357,-120.33032,Site Review Scheduled,Cold,Unassigned,Business List,11,2025-08-30,High,Promising commercial consumption profile.,97.0,0.74,8356.0,3
141,Anna Sanchez,Anna Sanchez,,Yakima,Grandview,Pacific Power,Residential,2742,605648,10.9,15794,192.36,46.695706,-120.397029,Proposal Sent,Cold,Atlas Admin,Campaign,18,2025-11-06,Medium,High-value roofline and strong bill-reduction angle.,54.6,0.44,1570.0,67
142,Sarah Taylor,Sarah Taylor,,Yakima,Grandview,Pacific Power,Residential,4112,553305,16.6,24000,267.96,46.816979,-120.432791,Proposal Sent,Warm,Unassigned,Walk-In,25,2026-02-13,Low,High-value roofline and strong bill-reduction angle.,78.2,0.63,2275.0,14
143,Yakima Valley Logistics,Rachel Bennett,Yakima Valley Logistics,Grant,Moses Lake,Grant PUD,Commercial,35177,3268020,236.8,343423,2195.94,47.269146,-119.359653,Proposal Sent,Warm,Unassigned,Referral,14,2026-02-23,Medium,Strong ownership profile and above-median assessed value.,99.0,0.8,20100.0,1
144,Blue Basin Vineyards,Noah Lopez,Blue Basin Vineyards,Yakima,Toppenish,Pacific Power,Agricultural,33837,830274,233.4,338483,2840.4,46.54564,-120.461403,Contact Attempted,Cold,Atlas Admin,Walk-In,9,2025-11-26,Medium,Promising commercial consumption profile.,91.4,0.44,25915.0,8
145,Daniel Ortiz,Daniel Ortiz,,Walla Walla,College Place,Pacific Power,Residential,1219,714012,5.1,7382,88.9,45.990957,-118.089947,Proposal Sent,Warm,Atlas Admin,Public Parcel,34,2026-04-19,Medium,Good ag load profile. Storage could be future upsell.,54.5,0.44,860.0,68
146,Yakima Valley Logistics,Elena Cooper,Yakima Valley Logistics,Yakima,Yakima,Pacific Power,Commercial,20306,1399027,144.3,209178,1765.73,46.715113,-120.489762,New Lead,Warm,Unassigned,Business List,21,2025-09-05,Low,Good ag load profile. Storage could be future upsell.,99.0,0.42,15945.0,1
147,Sarah Mitchell,Sarah Mitchell,,Franklin,Connell,Franklin PUD,Residential,2118,377579,8.9,12903,109.97,46.436757,-118.883133,Contact Attempted,Warm,Atlas Admin,Public Parcel,1,2026-04-08,High,High-value roofline and strong bill-reduction angle.,52.0,0.25,874.0,76
148,James Sanchez,James Sanchez,,Walla Walla,Walla Walla,Columbia REA,Residential,4008,900929,16.6,24000,258.39,45.898982,-118.471576,New Lead,Warm,Atlas Admin,Public Parcel,31,2026-03-22,Medium,Likely better fit after direct site review.,86.0,0.36,1873.0,10
149,Riverbend Auto Center,James Bennett,Riverbend Auto Center,Yakima,Grandview,Yakima Valley Utility,Commercial,23356,1122655,160.8,233177,1922.46,46.747959,-120.259878,Site Review Scheduled,Hot,Unassigned,Public Parcel,16,2025-10-17,Medium,Strong ownership profile and above-median assessed value.,99.0,0.75,18846.0,1
150,Frontier Market,Rachel Diaz,Frontier Market,Yakima,Sunnyside,Pacific Power,Agricultural,58852,2817454,290.8,421674,3512.47,46.498315,-120.739858,New Lead,Hot,Unassigned,Public Parcel,23,2025-09-08,Medium,Promising commercial consumption profile.,99.0,0.42,24478.0,1
151,Sun Ridge Farms,Jorge Diaz,Sun Ridge Farms,Walla Walla,College Place,Pacific Power,Commercial,35342,3805019,296.8,430360,3536.54,46.268016,-118.461647,Won,Cold,Unassigned,Referral,1,2026-01-13,Medium,Strong ownership profile and above-median assessed value.,97.0,0.97,33887.0,3
152,Elena Diaz,Elena Diaz,,Benton,Richland,Benton PUD,Residential,2487,252960,12.2,17758,173.87,46.456241,-119.315342,Contact Attempted,Warm,Unassigned,Walk-In,9,2025-10-29,High,High-value roofline and strong bill-reduction angle.,58.3,0.28,1510.0,55
153,Frontier Metal Works,Rachel Ortiz,Frontier Metal Works,Franklin,Connell,Franklin PUD,Agricultural,7906,4504242,54.8,79443,551.4,46.24205,-119.11657,Contact Attempted,Warm,Atlas Admin,Public Parcel,31,2026-01-30,High,High-value roofline and strong bill-reduction angle.,99.0,0.48,4360.0,1
154,Tri-City Vineyards,Ethan Bennett,Tri-City Vineyards,Benton,Richland,City Utility,Commercial,23962,4183395,168.2,243934,2013.76,46.310838,-119.544412,New Lead,Cold,Unassigned,Public Parcel,14,2026-03-22,High,Good ag load profile. Storage could be future upsell.,97.0,0.41,15608.0,3
155,Atlas Prospect Farms,Anna Taylor,Atlas Prospect Farms,Adams,Ritzville,Columbia REA,Commercial,7000,1138517,56.3,81656,697.42,47.179751,-118.668369,Won,Cold,Unassigned,Campaign,7,2025-08-26,Low,Strong ownership profile and above-median assessed value.,92.6,0.93,6091.0,6
156,Anna Bennett,Anna Bennett,,Grant,Moses Lake,Grant PUD,Residential,2972,853543,13.1,18925,147.92,46.96934,-119.278709,Proposal Sent,Cold,Unassigned,Business List,17,2025-11-16,Low,Good ag load profile. Storage could be future upsell.,55.5,0.45,1441.0,66
157,Harvest Auto Center,Elena Mitchell,Harvest Auto Center,Walla Walla,College Place,Pacific Power,Agricultural,38901,3013274,213.8,309963,2597.23,46.198711,-118.531146,Site Review Scheduled,Hot,Atlas Admin,Referral,7,2025-11-08,Medium,Likely better fit after direct site review.,99.0,0.75,21184.0,1
158,Columbia Market,Ethan Walker,Columbia Market,Grant,Quincy,Grant PUD,Agricultural,30681,487126,145.4,210823,1339.44,47.324876,-119.168836,New Lead,Warm,Unassigned,Campaign,2,2026-02-27,Medium,Strong ownership profile and above-median assessed value.,98.4,0.41,9285.0,2
159,Elena Diaz,Elena Diaz,,Adams,Ritzville,Adams County PUD,Residential,4051,541610,16.6,24000,193.97,47.080777,-118.370482,Won,Hot,Unassigned,Walk-In,14,2025-10-03,Medium,Likely better fit after direct site review.,66.2,0.66,1624.0,36
160,Luis Taylor,Luis Taylor,,Grant,Moses Lake,Grant PUD,Residential,1926,318086,7.3,10629,113.14,46.996546,-119.161144,Qualified,Cold,Unassigned,Referral,3,2026-03-12,Medium,Strong ownership profile and above-median assessed value.,35.5,0.24,1036.0,96
